Robot Number,Vial Site (1),Vial Site (2),Concatenated Vial site,Bulk Actual Temp (C),Crystal Score,identifier,_out_predicted,modelname,participantname,notes,class_probability
1,A,1,A1,95,1,,,originalstudy_LinearMarch_2,rapid_0,RAPID_0,
73,A,10,A10,95,1,,,originalstudy_LinearMarch_2,rapid_0,RAPID_0,
81,A,11,A11,95,2,,,originalstudy_LinearMarch_2,rapid_0,RAPID_0,
89,A,12,A12,95,2,,,originalstudy_LinearMarch_2,rapid_0,RAPID_0,
9,A,2,A2,95,1,,,originalstudy_LinearMarch_2,rapid_0,RAPID_0,
17,A,3,A3,95,1,,,originalstudy_LinearMarch_2,rapid_0,RAPID_0,
25,A,4,A4,95,1,,,originalstudy_LinearMarch_2,rapid_0,RAPID_0,
33,A,5,A5,95,2,,,originalstudy_LinearMarch_2,rapid_0,RAPID_0,
41,A,6,A6,95,2,,,originalstudy_LinearMarch_2,rapid_0,RAPID_0,
49,A,7,A7,95,4,,,originalstudy_LinearMarch_2,rapid_0,RAPID_0,
57,A,8,A8,95,4,,,originalstudy_LinearMarch_2,rapid_0,RAPID_0,
65,A,9,A9,95,1,,,originalstudy_LinearMarch_2,rapid_0,RAPID_0,
5,B,1,B1,95,1,,,originalstudy_LinearMarch_2,rapid_0,RAPID_0,
77,B,10,B10,95,1,,,originalstudy_LinearMarch_2,rapid_0,RAPID_0,
85,B,11,B11,95,2,,,originalstudy_LinearMarch_2,rapid_0,RAPID_0,
93,B,12,B12,95,2,,,originalstudy_LinearMarch_2,rapid_0,RAPID_0,
13,B,2,B2,95,1,,,originalstudy_LinearMarch_2,rapid_0,RAPID_0,
21,B,3,B3,95,1,,,originalstudy_LinearMarch_2,rapid_0,RAPID_0,
29,B,4,B4,95,1,,,originalstudy_LinearMarch_2,rapid_0,RAPID_0,
37,B,5,B5,95,2,,,originalstudy_LinearMarch_2,rapid_0,RAPID_0,
45,B,6,B6,95,2,,,originalstudy_LinearMarch_2,rapid_0,RAPID_0,
53,B,7,B7,95,4,,,originalstudy_LinearMarch_2,rapid_0,RAPID_0,
61,B,8,B8,95,4,,,originalstudy_LinearMarch_2,rapid_0,RAPID_0,
69,B,9,B9,95,1,,,originalstudy_LinearMarch_2,rapid_0,RAPID_0,
2,C,1,C1,95,1,,,originalstudy_LinearMarch_2,rapid_0,RAPID_0,
74,C,10,C10,95,1,,,originalstudy_LinearMarch_2,rapid_0,RAPID_0,
82,C,11,C11,95,2,,,originalstudy_LinearMarch_2,rapid_0,RAPID_0,
90,C,12,C12,95,2,,,originalstudy_LinearMarch_2,rapid_0,RAPID_0,
10,C,2,C2,95,1,,,originalstudy_LinearMarch_2,rapid_0,RAPID_0,
18,C,3,C3,95,1,,,originalstudy_LinearMarch_2,rapid_0,RAPID_0,
26,C,4,C4,95,1,,,originalstudy_LinearMarch_2,rapid_0,RAPID_0,
34,C,5,C5,95,2,,,originalstudy_LinearMarch_2,rapid_0,RAPID_0,
42,C,6,C6,95,2,,,originalstudy_LinearMarch_2,rapid_0,RAPID_0,
50,C,7,C7,95,4,,,originalstudy_LinearMarch_2,rapid_0,RAPID_0,
58,C,8,C8,95,4,,,originalstudy_LinearMarch_2,rapid_0,RAPID_0,
66,C,9,C9,95,1,,,originalstudy_LinearMarch_2,rapid_0,RAPID_0,
6,D,1,D1,95,1,,,originalstudy_LinearMarch_2,rapid_0,RAPID_0,
78,D,10,D10,95,1,,,originalstudy_LinearMarch_2,rapid_0,RAPID_0,
86,D,11,D11,95,2,,,originalstudy_LinearMarch_2,rapid_0,RAPID_0,
94,D,12,D12,95,2,,,originalstudy_LinearMarch_2,rapid_0,RAPID_0,
14,D,2,D2,95,1,,,originalstudy_LinearMarch_2,rapid_0,RAPID_0,
22,D,3,D3,95,1,,,originalstudy_LinearMarch_2,rapid_0,RAPID_0,
30,D,4,D4,95,1,,,originalstudy_LinearMarch_2,rapid_0,RAPID_0,
38,D,5,D5,95,2,,,originalstudy_LinearMarch_2,rapid_0,RAPID_0,
46,D,6,D6,95,2,,,originalstudy_LinearMarch_2,rapid_0,RAPID_0,
54,D,7,D7,95,4,,,originalstudy_LinearMarch_2,rapid_0,RAPID_0,
62,D,8,D8,95,2,,,originalstudy_LinearMarch_2,rapid_0,RAPID_0,
70,D,9,D9,95,1,,,originalstudy_LinearMarch_2,rapid_0,RAPID_0,
3,E,1,E1,95,1,,,originalstudy_LinearMarch_2,rapid_0,RAPID_0,
75,E,10,E10,95,1,,,originalstudy_LinearMarch_2,rapid_0,RAPID_0,
83,E,11,E11,95,2,,,originalstudy_LinearMarch_2,rapid_0,RAPID_0,
91,E,12,E12,95,2,,,originalstudy_LinearMarch_2,rapid_0,RAPID_0,
11,E,2,E2,95,1,,,originalstudy_LinearMarch_2,rapid_0,RAPID_0,
19,E,3,E3,95,1,,,originalstudy_LinearMarch_2,rapid_0,RAPID_0,
27,E,4,E4,95,1,,,originalstudy_LinearMarch_2,rapid_0,RAPID_0,
35,E,5,E5,95,2,,,originalstudy_LinearMarch_2,rapid_0,RAPID_0,
43,E,6,E6,95,2,,,originalstudy_LinearMarch_2,rapid_0,RAPID_0,
51,E,7,E7,95,4,,,originalstudy_LinearMarch_2,rapid_0,RAPID_0,
59,E,8,E8,95,2,,,originalstudy_LinearMarch_2,rapid_0,RAPID_0,
67,E,9,E9,95,1,,,originalstudy_LinearMarch_2,rapid_0,RAPID_0,
7,F,1,F1,95,1,,,originalstudy_LinearMarch_2,rapid_0,RAPID_0,
79,F,10,F10,95,1,,,originalstudy_LinearMarch_2,rapid_0,RAPID_0,
87,F,11,F11,95,2,,,originalstudy_LinearMarch_2,rapid_0,RAPID_0,
95,F,12,F12,95,2,,,originalstudy_LinearMarch_2,rapid_0,RAPID_0,
15,F,2,F2,95,1,,,originalstudy_LinearMarch_2,rapid_0,RAPID_0,
23,F,3,F3,95,1,,,originalstudy_LinearMarch_2,rapid_0,RAPID_0,
31,F,4,F4,95,1,,,originalstudy_LinearMarch_2,rapid_0,RAPID_0,
39,F,5,F5,95,2,,,originalstudy_LinearMarch_2,rapid_0,RAPID_0,
47,F,6,F6,95,2,,,originalstudy_LinearMarch_2,rapid_0,RAPID_0,
55,F,7,F7,95,2,,,originalstudy_LinearMarch_2,rapid_0,RAPID_0,
63,F,8,F8,95,4,,,originalstudy_LinearMarch_2,rapid_0,RAPID_0,
71,F,9,F9,95,1,,,originalstudy_LinearMarch_2,rapid_0,RAPID_0,
4,G,1,G1,95,4,,,originalstudy_LinearMarch_2,rapid_0,RAPID_0,
76,G,10,G10,95,1,,,originalstudy_LinearMarch_2,rapid_0,RAPID_0,
84,G,11,G11,95,2,,,originalstudy_LinearMarch_2,rapid_0,RAPID_0,
92,G,12,G12,95,2,,,originalstudy_LinearMarch_2,rapid_0,RAPID_0,
12,G,2,G2,95,1,,,originalstudy_LinearMarch_2,rapid_0,RAPID_0,
20,G,3,G3,95,1,,,originalstudy_LinearMarch_2,rapid_0,RAPID_0,
28,G,4,G4,95,1,,,originalstudy_LinearMarch_2,rapid_0,RAPID_0,
36,G,5,G5,95,2,,,originalstudy_LinearMarch_2,rapid_0,RAPID_0,
44,G,6,G6,95,2,,,originalstudy_LinearMarch_2,rapid_0,RAPID_0,
52,G,7,G7,95,2,,,originalstudy_LinearMarch_2,rapid_0,RAPID_0,
60,G,8,G8,95,4,,,originalstudy_LinearMarch_2,rapid_0,RAPID_0,
68,G,9,G9,95,1,,,originalstudy_LinearMarch_2,rapid_0,RAPID_0,
8,H,1,H1,95,1,,,originalstudy_LinearMarch_2,rapid_0,RAPID_0,
80,H,10,H10,95,1,,,originalstudy_LinearMarch_2,rapid_0,RAPID_0,
88,H,11,H11,95,2,,,originalstudy_LinearMarch_2,rapid_0,RAPID_0,
96,H,12,H12,95,2,,,originalstudy_LinearMarch_2,rapid_0,RAPID_0,
16,H,2,H2,95,1,,,originalstudy_LinearMarch_2,rapid_0,RAPID_0,
24,H,3,H3,95,1,,,originalstudy_LinearMarch_2,rapid_0,RAPID_0,
32,H,4,H4,95,1,,,originalstudy_LinearMarch_2,rapid_0,RAPID_0,
40,H,5,H5,95,2,,,originalstudy_LinearMarch_2,rapid_0,RAPID_0,
48,H,6,H6,95,2,,,originalstudy_LinearMarch_2,rapid_0,RAPID_0,
56,H,7,H7,95,4,,,originalstudy_LinearMarch_2,rapid_0,RAPID_0,
64,H,8,H8,95,4,,,originalstudy_LinearMarch_2,rapid_0,RAPID_0,
72,H,9,H9,95,1,,,originalstudy_LinearMarch_2,rapid_0,RAPID_0,