Robot Number,Vial Site (1),Vial Site (2),Concatenated Vial site,Experiment Name,Bulk Actual Temp (C),Crystal Score,identifier,_out_predicted,modelname,participantname,notes,class_probability
1,A,1,A1,0,25,4,,,escalate_MathematicaUniformRandom_2.5,escalate,,
2,C,1,C1,0,25,4,,,escalate_MathematicaUniformRandom_2.5,escalate,,
3,E,1,E1,0,25,4,,,escalate_MathematicaUniformRandom_2.5,escalate,,
4,G,1,G1,0,25,4,,,escalate_MathematicaUniformRandom_2.5,escalate,,
5,A,3,A3,0,25,4,,,escalate_MathematicaUniformRandom_2.5,escalate,,
6,C,3,C3,0,25,4,,,escalate_MathematicaUniformRandom_2.5,escalate,,
7,E,3,E3,0,25,4,,,escalate_MathematicaUniformRandom_2.5,escalate,,
8,G,3,G3,0,25,4,,,escalate_MathematicaUniformRandom_2.5,escalate,,
9,A,5,A5,0,25,4,,,escalate_MathematicaUniformRandom_2.5,escalate,,
10,C,5,C5,0,25,1,,,escalate_MathematicaUniformRandom_2.5,escalate,,
11,E,5,E5,0,25,3,,,escalate_MathematicaUniformRandom_2.5,escalate,,
12,G,5,G5,0,25,4,,,escalate_MathematicaUniformRandom_2.5,escalate,,
13,A,7,A7,0,25,3,,,escalate_MathematicaUniformRandom_2.5,escalate,,
14,C,7,C7,0,25,4,,,escalate_MathematicaUniformRandom_2.5,escalate,,
15,E,7,E7,0,25,4,,,escalate_MathematicaUniformRandom_2.5,escalate,,
16,G,7,G7,0,25,4,,,escalate_MathematicaUniformRandom_2.5,escalate,,
17,A,9,A9,0,25,4,,,escalate_MathematicaUniformRandom_2.5,escalate,,
18,C,9,C9,0,25,4,,,escalate_MathematicaUniformRandom_2.5,escalate,,
19,E,9,E9,0,25,4,,,escalate_MathematicaUniformRandom_2.5,escalate,,
20,G,9,G9,0,25,4,,,escalate_MathematicaUniformRandom_2.5,escalate,,
21,A,11,A11,0,25,4,,,escalate_MathematicaUniformRandom_2.5,escalate,,
22,C,11,C11,0,25,4,,,escalate_MathematicaUniformRandom_2.5,escalate,,
23,E,11,E11,0,25,4,,,escalate_MathematicaUniformRandom_2.5,escalate,,
24,G,11,G11,0,25,4,,,escalate_MathematicaUniformRandom_2.5,escalate,,