Product expected,Purity w/ flux,Purity w/o flux,Purity difference,Did it work,formation energy,BDE of adduct,Metal density,chalc density,avg density,product density,metal electroneg,chalc electroneg,electroneg diff,m.p of metal,m.p. of chalc,metal atomic #,chalc atomic #,ionization energy of metal,ionization energy of chalc,electron affinity of metal,electron affinity of chalcogen,minimum change in chemical potential,maximum change in chemical potential
FeSe,99,46,53,Yes,-0.2804,70,7.874,4.819,6.3465,5.71,1.83,2.55,0.72,1538,221,26,34,762.5,941,15.7,195,-0.4955,-0.5586
FeS,100,3,97,Yes,-0.8404,58,7.874,1.96,4.917,4.84,1.83,2.58,0.75,1538,115.21,26,16,762.5,999.6,15.7,200,-1.1532,-1.6757
FeTe2,92,29,63,Yes,-0.1768,,7.874,6.24,7.057,8.06,1.83,2.1,0.27,1538,449.51,26,52,762.5,869.3,15.7,190.2,0,-0.2613
Co9Se8,9,0,9,Yes,-0.2759,70,8.9,4.819,6.8595,6.8,1.88,2.55,0.67,1495,221,27,34,760.4,941,63.7,195,-0.3423,-0.5856
Co9S8,100,2,98,Yes,-0.7809,58,8.9,1.96,5.43,5.34,1.88,2.58,0.7,1495,115.21,27,16,760.4,999.6,63.7,200,-0.9189,-1.6577
CoTe2,86,75,11,Yes,-0.2034,,8.9,6.24,7.57,7.94,1.88,2.1,0.22,1495,449.51,27,52,760.4,869.3,63.7,190.2,0,-0.2973
MnSe,62,24,38,Yes,-0.3676,70,7.47,4.819,6.1445,5.49,1.55,2.55,1,1246,221,25,34,717.3,941,0,195,-0.1532,-0.7297
MnS,86,23,63,Yes,-0.875,58,7.47,1.96,4.715,4.02,1.55,2.58,1.03,1246,115.21,25,16,717.3,999.6,0,200,-1.4144,-1.6126
MnTe,5,2,3,Yes,-0.0808,,7.47,6.24,6.855,6.75,1.55,2.1,0.55,1246,449.51,25,52,717.3,869.3,0,190.2,0,-0.1712
Ni3Te2,0,0,0,Maybe,-0.1825,,8.908,6.24,7.574,8.23,1.91,2.1,0.19,1455,449.51,28,52,737.1,869.3,112,190.2,-0.2703,-0.4505
SnS,75,6,69,Yes,-0.7978,58,7.31,1.96,4.635,5.17,1.96,2.58,0.62,231.93,115.21,50,16,708.6,999.6,107.3,200,-0.8829,-1.5766
PbSe,100,100,0,Maybe,-0.5481,70,11.34,4.819,8.0795,8.26,2.33,2.55,0.22,327.46,221,82,34,715.6,941,35.1,195,0,-1.0901
PbS,0,95,-95,No,-0.8561,58,11.34,1.96,6.65,6.66,2.33,2.58,0.25,327.46,115.21,82,16,715.6,999.6,35.1,200,0,-1.7117
PbTe,80,82,-2,Maybe,-0.4033,,11.34,6.24,8.79,8.24,2.33,2.1,-0.23,327.46,449.51,82,52,715.6,869.3,35.1,190.2,0,-0.8018
GaTe,17,1,16,Yes,-0.3717,,5.904,6.24,6.072,5.47,1.81,2.1,0.29,29.76,449.51,31,52,578.8,869.3,28.9,190.2,-0.1622,-0.7387
In4Te3,11,0,11,Yes,-0.2582,,7.31,6.24,6.775,6.33,1.78,2.1,0.32,156.6,449.51,49,52,558.3,869.3,28.9,190.2,-0.4505,-0.5946
Ag2S,0,93,-93,No,-0.2689,58,10.49,1.96,6.225,8.79,1.93,2.58,0.65,961.78,115.21,47,16,731,999.6,125.6,200,0,-0.8018
Ag2Se,100,100,0,Maybe,-0.0689,70,10.49,4.819,7.6545,8.21,1.93,2.55,0.62,961.78,221,47,34,731,941,125.6,195,0,0.1982
Ag2Te,100,68,32,Yes,-0.0736,,10.49,6.24,8.365,8.42,1.93,2.1,0.17,961.78,449.51,47,52,731,869.3,125.6,190.2,-0.009,-0.2162
MoS2,0,0,0,No,-1.3652,58,10.28,1.96,6.12,5,2.16,2.58,0.42,2623,115.21,42,16,684.3,999.6,71.9,200,0,-2.045
MoSe2,48,46,2,Maybe,-0.7251,70,10.28,4.819,7.5495,6.96,2.16,2.55,0.39,2623,221,42,34,684.3,941,71.9,195,0,-1.0811
RuSe2,0,0,0,No,-0.4382,70,12.37,4.819,8.5945,8.23,2.2,2.55,0.35,2334,221,44,34,710.2,941,101.3,195,0,-0.6577
RuS2,0,0,0,No,-0.9908,58,12.37,1.96,7.165,6.21,2.2,2.58,0.38,2334,115.21,44,16,710.2,999.6,101.3,200,0,-1.4775
Ta2Se,0,0,0,No,-0.4615,70,16.65,4.819,10.7345,12.22,1.5,2.55,1.05,3017,221,73,34,761,941,31,195,-1.2432,-1.3784
Ta3S2,0,0,0,No,-1.0118,58,16.65,1.96,9.305,10.89,1.5,2.58,1.08,3017,115.21,73,16,761,999.6,31,200,-2.2432,-2.5225
Ta21Te13,0,0,0,No,-0.2832,,16.65,6.24,11.445,10.22,1.5,2.1,0.6,3017,449.51,73,52,761,869.3,31,190.2,-0.5676,-0.7387